#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	Unknown_BM251-ZX01-010001_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010002_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010003_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010004_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010005_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010006_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010007_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010008_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010009_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010010_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010011_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010012_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010013_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010014_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010015_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010016_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010017_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010018_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010019_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010020_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010021_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010022_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010023_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010024_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010025_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010026_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010027_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010028_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010029_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010030_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010031_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010032_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010033_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010034_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010035_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010036_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010037_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010038_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010039_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010040_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010041_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010042_good_metaphlan_bugs_list
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.0	9.91883	33.44364	25.7009	0.0	31.66736	46.83065	0.02659	26.026	0.0	0.0	50.9628	0.0	43.46331	0.02937	26.06019	29.05246	13.98438	0.0	0.0	26.91716	0.0	42.72386	46.94252	0.02206	0.00145	26.96004	0.0	44.88258	1.25598	0.0	0.0	4.19686	7.41523	0.0	39.51917	0.0	0.0	0.0	1.44981	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.0	7.37027	1.53575	0.82883	0.0	0.46706	0.49528	0.0	1.046	0.0	0.0	1.2739	0.0	0.60366	0.0	1.43085	0.0	1.21325	0.0	0.0	1.35081	0.0	1.34013	0.25566	0.0	0.0	1.36931	0.0	0.25813	0.0	0.0	0.0	0.12863	0.08208	0.0	0.0	0.0	0.0	0.0	0.00357	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84486	0.0	0.41665	0.00202	0.06005	0.0	0.0	0.55986	0.0	0.0	0.0	0.0	0.06066	0.0	0.58685	0.0	0.23239	0.0	0.87555	0.0	0.0	0.00354	0.0	0.09648	0.0	0.0	0.0	0.61487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0	0.40762	0.22019	0.33539	0.0	0.0	0.84032	0.0	1.98342	0.0	0.0	0.5779	0.0	0.17016	0.0	0.25601	0.0	0.39434	0.0	0.0	0.27336	0.0	0.28686	1.96913	0.0	0.0	0.38535	0.0	0.32144	0.0	0.0	0.0	0.09884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765	0.0	0.19249	0.10602	0.07103	0.0	0.0	0.20473	0.0	2.60774	0.0	0.0	0.22638	0.0	2.26781	0.0	6.67462	0.0	2.17218	0.0	0.0	0.0	0.0	1.08673	0.0	0.0	0.0	0.20742	0.0	0.0	0.0	0.0	0.0	0.22819	0.08302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	0.16986	0.73721	11.49374	0.0	14.39032	1.69435	0.01137	0.69945	0.0	0.0	1.19521	0.0	1.32281	0.0	1.74431	0.0	0.67524	0.0	0.0	1.22265	0.0	0.87959	0.08248	0.01586	0.0	0.94082	0.0	1.07163	0.0	0.0	0.0	0.48899	0.21991	0.0	0.0	0.0	0.0	0.0	0.27302	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	0.0	0.03466	0.34004	0.18151	0.0	0.0	0.12766	0.0	0.13831	0.0	0.0	0.0	0.0	0.25683	0.0	0.35596	0.0	0.12743	0.0	0.0	0.15618	0.0	0.15836	0.28659	0.0	0.0	0.22714	0.0	0.84527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292	0.0	0.02938	0.08343	0.02071	0.0	0.0	0.0	0.0	0.04674	0.0	0.0	0.04117	0.0	0.02118	0.0	0.20631	0.0	0.09603	0.0	0.0	0.07125	0.0	0.03211	0.08246	0.0	0.0	0.05622	0.0	0.04061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834	0.0	0.01067	0.02588	0.00047	0.0	0.0	0.34366	0.0	0.05606	0.0	0.0	0.0	0.0	0.0	0.0	0.02414	0.0	0.0	0.0	0.0	0.11453	0.0	0.15524	0.00104	0.0	0.0	0.11386	0.0	0.05193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.0	0.00987	0.00991	0.00294	0.0	0.0	0.00344	0.0	0.01277	0.0	0.0	0.00937	0.0	0.03878	0.0	0.0	0.0	0.0239	0.0	0.0	0.0615	0.0	0.00698	0.04121	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.0	0.00021	0.00415	0.08718	100.0	0.0	0.04669	0.0	0.2549	0.0	0.0	0.00181	0.0	0.81389	0.0	0.05739	0.0	0.07462	93.22526	0.0	0.03456	0.00627	1.44229	0.01998	90.82028	0.00051	0.17512	0.0	0.0	0.03471	0.0	0.0	0.0	0.1818	0.0	0.0	98.64444	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	0.0	39.39443	0.95185	4.74175	0.0	0.0	0.56823	74.48882	5.53361	0.0	0.0	0.69635	0.0	1.24651	0.52361	1.89528	11.82876	0.61381	0.0	0.0	7.73466	0.0	1.71289	4.61265	0.0	0.0	3.2278	0.0	0.0	0.0	0.0	0.0	25.16954	0.66346	0.31223	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	0.0	20.29633	28.38584	25.48015	0.0	0.0	13.74753	0.0	29.18802	0.0	0.0	25.69747	0.0	22.00283	0.00646	20.90664	16.17579	36.0189	0.0	0.0	35.50889	0.0	19.44679	23.56041	0.0	0.0	32.93136	0.0	20.38107	0.0211	0.0	0.0	2.17906	0.59884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	0.0	13.62285	28.03543	22.33158	0.0	3.36359	16.04322	0.0	29.31907	0.0	0.0	17.91361	0.05918	23.53847	0.04125	27.13376	25.22876	27.73025	0.0	0.0	23.57746	0.0	21.21104	8.65263	0.0	0.0	22.23603	0.0	12.63562	0.04158	0.0	0.0	2.22083	1.38574	0.0	0.0	0.0	0.0	0.0	0.02901	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.0	9.91883	33.44364	25.7009	0.0	31.66736	46.83065	0.02659	26.026	0.0	0.0	50.9628	0.0	43.46331	0.02937	26.06019	29.05246	13.98438	0.0	0.0	26.91716	0.0	42.72386	46.94252	0.02206	0.00145	26.96004	0.0	44.88258	1.25598	0.0	0.0	4.19686	7.41523	0.0	39.51917	0.0	0.0	0.0	1.44981	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	0.0	7.37027	0.4426	0.24896	0.0	0.0	0.08434	0.0	0.05544	0.0	0.0	0.09541	0.0	0.19894	0.0	0.43798	0.0	0.58406	0.0	0.0	0.13766	0.0	0.78027	0.15309	0.0	0.0	0.70192	0.0	0.21185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00357	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	0.0	5.9058	0.0738	0.14456	0.0	1.3528	0.65644	0.0	0.04332	0.0	0.0	0.0065	0.0	0.06392	0.0	0.10105	0.0	0.38876	0.0	0.0	0.16274	0.0	0.25748	0.0399	0.0	0.0	0.19619	0.0	0.07427	0.0	0.0	0.0	0.13948	0.03489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486	0.0	0.41665	0.00202	0.06005	0.0	0.0	0.55986	0.0	0.0	0.0	0.0	0.06066	0.0	0.58685	0.0	0.23239	0.0	0.87555	0.0	0.0	0.00354	0.0	0.09648	0.0	0.0	0.0	0.61487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0	0.40762	0.22019	0.33539	0.0	0.0	0.84032	0.0	1.98342	0.0	0.0	0.5779	0.0	0.17016	0.0	0.25601	0.0	0.39434	0.0	0.0	0.27336	0.0	0.28686	1.96913	0.0	0.0	0.38535	0.0	0.32144	0.0	0.0	0.0	0.09884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.0	0.19249	0.10602	0.07103	0.0	0.0	0.20473	0.0	2.60774	0.0	0.0	0.22638	0.0	2.26781	0.0	6.67462	0.0	2.17218	0.0	0.0	0.0	0.0	1.08673	0.0	0.0	0.0	0.20742	0.0	0.0	0.0	0.0	0.0	0.22819	0.08302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0	0.16266	0.12991	1.84	0.0	0.0	0.07752	0.0	0.68897	0.0	0.0	0.0	0.0	1.32281	0.0	1.54514	0.0	0.0	0.0	0.0	1.22117	0.0	0.87959	0.0	0.0	0.0	0.0	0.0	0.39374	0.0	0.0	0.0	0.02538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	0.0	0.03466	0.34004	0.18151	0.0	0.0	0.12766	0.0	0.13831	0.0	0.0	0.0	0.0	0.25683	0.0	0.35596	0.0	0.12743	0.0	0.0	0.15618	0.0	0.15836	0.28659	0.0	0.0	0.22714	0.0	0.84527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.0	0.02938	0.08343	0.02071	0.0	0.0	0.0	0.0	0.04674	0.0	0.0	0.04117	0.0	0.02118	0.0	0.20631	0.0	0.09603	0.0	0.0	0.07125	0.0	0.03211	0.08246	0.0	0.0	0.05622	0.0	0.04061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
