#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	Unknown_CH614-001R0001_good_metaphlan_bugs_list	Unknown_CH614-001R0002_good_metaphlan_bugs_list	Unknown_CH614-001R0003_good_metaphlan_bugs_list	Unknown_CH614-001R0004_good_metaphlan_bugs_list	Unknown_CH614-001R0005_good_metaphlan_bugs_list	Unknown_CH614-001R0006_good_metaphlan_bugs_list	Unknown_CH614-001R0007_good_metaphlan_bugs_list	Unknown_CH614-001R0008_good_metaphlan_bugs_list	Unknown_CH614-001R0009_good_metaphlan_bugs_list	Unknown_CH614-001R0010_good_metaphlan_bugs_list	Unknown_CH614-001R0011_good_metaphlan_bugs_list	Unknown_CH614-001R0012_good_metaphlan_bugs_list	Unknown_CH614-001R0013_good_metaphlan_bugs_list	Unknown_CH614-001R0014_good_metaphlan_bugs_list	Unknown_CH614-001R0015_good_metaphlan_bugs_list	Unknown_CH614-001R0016_good_metaphlan_bugs_list	Unknown_CH614-001R0017_good_metaphlan_bugs_list	Unknown_CH614-001R0018_good_metaphlan_bugs_list	Unknown_CH614-001R0019_good_metaphlan_bugs_list	Unknown_CH614-001R0020_good_metaphlan_bugs_list	Unknown_CH614-001R0021_good_metaphlan_bugs_list	Unknown_CH614-001R0022_good_metaphlan_bugs_list	Unknown_CH614-001R0023_good_metaphlan_bugs_list	Unknown_CH614-001R0024_good_metaphlan_bugs_list	Unknown_CH614-001R0025_good_metaphlan_bugs_list	Unknown_CH614-001R0026_good_metaphlan_bugs_list	Unknown_CH614-001R0027_good_metaphlan_bugs_list	Unknown_CH614-001R0028_good_metaphlan_bugs_list	Unknown_CH614-001R0029_good_metaphlan_bugs_list	Unknown_CH614-001R0030_good_metaphlan_bugs_list	Unknown_CH614-001R0031_good_metaphlan_bugs_list	Unknown_CH614-001R0032_good_metaphlan_bugs_list	Unknown_CH614-001R0033_good_metaphlan_bugs_list	Unknown_CH614-001R0034_good_metaphlan_bugs_list	Unknown_CH614-001R0035_good_metaphlan_bugs_list	Unknown_CH614-001R0036_good_metaphlan_bugs_list	Unknown_CH614-001R0037_good_metaphlan_bugs_list	Unknown_CH614-001R0038_good_metaphlan_bugs_list
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_carnis	0.99211	0.0	0.0	0.0	2.19308	0.0	0.07524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03004	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_huttiense	0.18136	0.0	0.0	0.0	0.16116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_miscanthi	0.02914	0.0	0.00152	0.0	0.06811	0.00872	0.00331	0.0	0.00185	0.00505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09266	0.0	0.05643	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_guillouiae|t__SGB10380	62.3411	19.58728	1.4105	0.0056	55.10289	8.96711	2.20941	0.01395	2.7391	3.95609	0.00521	0.03054	0.00623	0.00634	0.16451	100.0	0.07942	0.12297	0.00133	0.00561	0.00263	0.0034	0.0065	0.00073	0.0013	0.00147	0.0015	0.00081	0.00257	0.06683	0.00251	0.00143	0.00101	0.00307	56.59539	0.00118	50.35697	0.0007
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Paracidovorax|s__Paracidovorax_wautersii|t__SGB12706	17.59288	2.22551	0.33874	0.0	12.99822	2.13111	0.52246	0.0	0.69202	0.89566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.74901	0.0	15.82364	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_protegens|t__SGB12187	10.48023	3.95305	0.45433	0.0	17.65974	2.67338	0.90704	0.0	1.09924	1.20936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.84175	0.0	20.41041	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_3F27F9|t__SGB31711	5.86259	0.09139	0.20828	0.0	9.32985	1.67508	0.48359	0.0	0.55441	0.74515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.72119	0.0	11.23248	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_velezensis|t__SGB7785	2.52059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_carnis|t__SGB12127	0.99211	0.0	0.0	0.0	2.19308	0.0	0.07524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03004	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_huttiense|t__SGB12894	0.18136	0.0	0.0	0.0	0.16116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
